titulo,autor,genero,isbn,copias_disponibles,ubicacion
La espada de los sueños: Edición para jóvenes 3,Mario Fernández,Fantasía,978-1000078282,3,Sección B - Estante 6
Mi primer ajolote: Nueva edición 11,Manuel Navarro Álvarez,Infantil,978-1000078299,2,Sección Infantil - Estante 7
Historia de las mujeres en México: Nueva edición 9,Víctor Valdez Arellano,Historia de México,978-1000078305,2,Sección Historia - Estante 12
Atlas de México: Una introducción 4,Beatriz Santos Cervantes,Geografía,978-1000078312,4,Sección Referencia - Estante 9
Los días junto al lago: Estudios y comentarios 17,Brenda Ortega,Novela,978-1000078329,3,Sección A - Estante 11
Misterio en la biblioteca cerrada: Una introducción 6,Rodrigo Soto Sandoval,Misterio,978-1000078336,7,Sección B - Estante 4
Claves de el consumo responsable: Lecturas seleccionadas 7,Sandra Castillo,Economía,978-1000078343,0,Sección Humanidades - Estante 10
Versos para la lluvia: Cuaderno de actividades 7,Héctor Moreno Lozano,Poesía,978-1000078350,3,Sección A - Estante 11
Tecnología para desarrollo web: Volumen II 7,Manuel Ibarra,Tecnología,978-1000078367,1,Sección Ciencia - Estante 1
Relatos de la montaña: Estudios y comentarios 10,Ernesto Rojas,Cuento,978-1000078374,5,Sección A - Estante 5
Didáctica de la escritura: Volumen II 9,Gabriela Méndez,Educación,978-1000078381,4,Sección Educación - Estante 4
El secreto de exploradores: Lecturas seleccionadas 11,Jorge Zamora,Infantil,978-1000078398,2,Sección Infantil - Estante 10
Las aventuras de exploradores: Volumen I 8,Rubén Álvarez Santos,Infantil,978-1000078404,3,Sección Infantil - Estante 8
Crónicas de la azotea: Estudios y comentarios 15,Óscar Moreno Castillo,Juvenil,978-1000078411,2,Sección Juvenil - Estante 2
La voz de la luz: Historias complementarias 9,José Ortega,Poesía,978-1000078428,2,Sección A - Estante 9
Pensar la ciudadanía: Lecturas seleccionadas 5,Víctor Lara,Filosofía,978-1000078435,2,Sección Humanidades - Estante 11
La memoria de la lluvia: Una introducción 10,Manuel Rivera,Novela,978-1000078442,0,Sección A - Estante 11
La distancia de la lluvia: Guía ilustrada 10,Jorge Lozano,Novela,978-1000078459,3,Sección A - Estante 12
Los días del último verano: Volumen II 12,Felipe Reyes,Novela,978-1000078466,3,Sección A - Estante 8
Didáctica de la educación comunitaria: Volumen II 5,Felipe Ruiz Santos,Educación,978-1000078473,7,Sección Educación - Estante 10
Principios de la economía: Guía ilustrada 5,Emiliano Vargas,Economía,978-1000078480,5,Sección Humanidades - Estante 11
Memoria de la Revolución Mexicana: Estudios y comentarios 14,Olga León,Historia de México,978-1000078497,1,Sección Historia - Estante 11
Principios de el acceso a la justicia: Estudios y comentarios 8,Rodrigo Estrada Alarcón,Derecho,978-1000078503,1,Sección Humanidades - Estante 6
Introducción a los primeros auxilios: Cuaderno de actividades 6,Francisco Campos,Salud,978-1000078510,3,Sección Salud - Estante 7
Órbita el año 2149: Volumen I 3,Emiliano Díaz,Ciencia Ficción,978-1000078527,3,Sección B - Estante 10
El club de la azotea: Lecturas seleccionadas 8,Noemí Rojas Méndez,Juvenil,978-1000078534,1,Sección Juvenil - Estante 6
Las aventuras de tlacuache: Edición para jóvenes 9,Gerardo Luna Arellano,Infantil,978-1000078541,4,Sección Infantil - Estante 3
Voces de los mercados: Nueva edición 4,Carlos Fernández Flores,Cuento,978-1000078558,2,Sección A - Estante 12
El futuro de los huertos urbanos: Volumen II 5,Carmen Salazar,Medio Ambiente,978-1000078565,7,Sección Ciencia - Estante 8
La guardiana de obsidiana: Nueva edición 7,José Guerrero,Fantasía,978-1000078572,3,Sección B - Estante 11
Una vida entre un médico de barrio: Estudios y comentarios 7,Sandra Castro Trejo,Biografía,978-1000078589,6,Sección Historia - Estante 2
Atlas ilustrado de ciencias: Cuaderno de actividades 5,Leticia Ochoa,Referencia,978-1000078596,4,Sección Referencia - Estante 8
Vida de una científica: Historias complementarias 5,Ricardo Romero Aguilar,Biografía,978-1000078602,1,Sección Historia - Estante 10
Guía de el Valle de México: Edición para jóvenes 4,Sara Luna Jiménez,Medio Ambiente,978-1000078619,5,Sección Ciencia - Estante 8
Documentos para comprender los movimientos sociales: Historias complementarias 15,Rocío Morales,Historia,978-1000078626,2,Sección Historia - Estante 12
El club de los mensajes perdidos: Edición para jóvenes 7,Silvia Villanueva Márquez,Juvenil,978-1000078633,1,Sección Juvenil - Estante 4
El caso de la casa azul: Una introducción 10,Liliana Cabrera,Misterio,978-1000078640,1,Sección B - Estante 7
Mi primer monstruo amable: Volumen I 9,Guadalupe Sandoval,Infantil,978-1000078657,3,Sección Infantil - Estante 12
Versos para los encuentros: Nueva edición 13,Enrique Ochoa,Poesía,978-1000078664,3,Sección A - Estante 12
El secreto de tlacuache: Volumen II 7,Verónica Herrera Trejo,Infantil,978-1000078671,3,Sección Infantil - Estante 1
Historias desde la memoria: Estudios y comentarios 6,Carmen Molina,Cuento,978-1000078688,3,Sección A - Estante 7
Las voces de las jacarandas: Cuaderno de actividades 9,Mónica Pérez,Novela,978-1000078695,3,Sección A - Estante 1
El secreto de luna de papel: Guía ilustrada 13,Ricardo Vázquez,Infantil,978-1000078701,2,Sección Infantil - Estante 9
El club de la secundaria 27: Historias complementarias 10,Pedro Aguilar Blanco,Juvenil,978-1000078718,6,Sección Juvenil - Estante 12
Panorama de América Latina: Una introducción 13,Liliana Castillo,Historia,978-1000078725,8,Sección Historia - Estante 10
El pequeño gato del mercado: Volumen II 10,Sara Hernández Molina,Infantil,978-1000078732,4,Sección Infantil - Estante 1
Historia de el siglo XX: Historias complementarias 18,Marcela Ochoa,Historia,978-1000078749,0,Sección Historia - Estante 2
Archivo Tenochtitlan: Estudios y comentarios 6,Fernanda Ortiz,Ciencia Ficción,978-1000078756,2,Sección B - Estante 3
La ciudad de la puerta roja: Guía ilustrada 7,Leticia Lozano,Juvenil,978-1000078763,4,Sección Juvenil - Estante 2
Cuentos de los caminos: Lecturas seleccionadas 9,Patricia Sandoval,Cuento,978-1000078770,1,Sección A - Estante 12
Vida de un músico popular: Estudios y comentarios 11,Fernanda Miranda,Biografía,978-1000078787,4,Sección Historia - Estante 9
Paisajes de las cuencas y ríos: Lecturas seleccionadas 4,Andrea Arellano Jiménez,Geografía,978-1000078794,2,Sección Referencia - Estante 3
El secreto de monstruo amable: Historias complementarias 13,Rocío Solís Maldonado,Infantil,978-1000078800,1,Sección Infantil - Estante 11
Voces de la ciudad: Edición para jóvenes 11,Leticia Velasco,Cuento,978-1000078817,4,Sección A - Estante 9
Misterio en el último tranvía: Volumen II 7,Verónica Luna,Misterio,978-1000078824,2,Sección B - Estante 2
Historias desde los mercados: Volumen II 9,Sofía Morales Zamora,Cuento,978-1000078831,0,Sección A - Estante 12
La memoria bajo el cielo: Edición para jóvenes 15,Silvia Lara,Novela,978-1000078848,2,Sección A - Estante 10
Guía de los océanos: Nueva edición 9,Natalia Benítez Reyes,Ciencia,978-1000078855,4,Sección Ciencia - Estante 6
El mapa sin regreso: Edición para jóvenes 15,Rosa Rivera,Novela,978-1000078862,0,Sección A - Estante 10
El silencio en la ventana: Cuaderno de actividades 7,Héctor Mendoza Ibarra,Novela,978-1000078879,1,Sección A - Estante 10
Guía de el desarrollo local: Edición para jóvenes 9,Cecilia Ortega Cortés,Economía,978-1000078886,3,Sección Humanidades - Estante 2
La noche en la niebla: Edición para jóvenes 5,Olga Salazar Santos,Terror,978-1000078893,1,Sección B - Estante 3
La increíble tren de colores: Estudios y comentarios 8,Arturo Sánchez Aranda,Infantil,978-1000078909,2,Sección Infantil - Estante 7
La casa de los ausentes: Estudios y comentarios 9,Guadalupe Luna,Novela,978-1000078916,0,Sección A - Estante 12
La noche de ajolote: Guía ilustrada 8,Diego Chávez,Infantil,978-1000078923,8,Sección Infantil - Estante 3
El pequeño luna de papel: Historias complementarias 15,Ricardo Marín Díaz,Infantil,978-1000078930,1,Sección Infantil - Estante 10
La última misión a el año 2149: Volumen II 3,Lorena Miranda Vargas,Ciencia Ficción,978-1000078947,1,Sección B - Estante 4
La noche de árbol parlante: Lecturas seleccionadas 5,Cecilia Gutiérrez,Infantil,978-1000078954,4,Sección Infantil - Estante 7
Crónicas del los nahuales: Nueva edición 9,Silvia Fernández,Fantasía,978-1000078961,4,Sección B - Estante 8
Ética para el conocimiento: Cuaderno de actividades 6,Esther Zamora,Filosofía,978-1000078978,5,Sección Humanidades - Estante 8
La desaparición de la casa azul: Edición para jóvenes 5,Carmen Mendoza Villanueva,Misterio,978-1000078985,1,Sección B - Estante 8
Voces de la periferia: Volumen II 11,Sofía Delgado,Cuento,978-1000078992,2,Sección A - Estante 5
El jardín sin regreso: Lecturas seleccionadas 9,Pilar Velasco Villanueva,Novela,978-1000079005,2,Sección A - Estante 1
Geografía de el mundo: Lecturas seleccionadas 2,Alejandra Domínguez,Geografía,978-1000079012,3,Sección Referencia - Estante 4
La sombra del barrio: Nueva edición 13,Teresa Robles Vega,Novela,978-1000079029,1,Sección A - Estante 12
Retrato de un defensor comunitario: Guía ilustrada 9,Susana León,Biografía,978-1000079036,4,Sección Historia - Estante 9
La estación sin regreso: Guía ilustrada 7,Noemí Cabrera,Novela,978-1000079043,1,Sección A - Estante 8
Atlas histórico de la vida cotidiana: Nueva edición 13,Salvador Aguilar,Historia,978-1000079050,4,Sección Historia - Estante 12
Principios de las obligaciones civiles: Volumen II 7,Ricardo Rodríguez,Derecho,978-1000079067,4,Sección Humanidades - Estante 8
El verano de la puerta roja: Lecturas seleccionadas 5,Felipe Estrada,Juvenil,978-1000079074,1,Sección Juvenil - Estante 4
La distancia junto al lago: Historias complementarias 13,Rafael Cortés Vargas,Novela,978-1000079081,1,Sección A - Estante 4
Principios de la astronomía: Estudios y comentarios 11,Ricardo Ortiz,Ciencia,978-1000079098,4,Sección Ciencia - Estante 11
Las voces de la lluvia: Una introducción 14,Miguel Ortiz,Novela,978-1000079104,3,Sección A - Estante 8
Preguntas sobre la salud pública: Historias complementarias 11,Carlos Chávez Barrera,Salud,978-1000079111,1,Sección Salud - Estante 9
El misterio de la noche interminable: Volumen II 8,Ernesto Alarcón,Juvenil,978-1000079128,7,Sección Juvenil - Estante 4
Las voces de debajo de la cama: Historias complementarias 13,Eva Estrada Ochoa,Terror,978-1000079135,2,Sección B - Estante 12
Atlas histórico de la vida cotidiana: Volumen I 14,Olga Arellano,Historia,978-1000079142,2,Sección Historia - Estante 2
El club de los mensajes perdidos: Historias complementarias 8,Rosa Maldonado León,Juvenil,978-1000079159,5,Sección Juvenil - Estante 5
La pista de la calle de Donceles: Edición para jóvenes 7,Tomás Sánchez Álvarez,Misterio,978-1000079166,5,Sección B - Estante 1
Historias desde la memoria: Guía ilustrada 7,Estela Ochoa Espinosa,Cuento,978-1000079173,2,Sección A - Estante 6
La pandilla de tren de colores: Volumen I 9,Valeria Herrera,Infantil,978-1000079180,5,Sección Infantil - Estante 3
La increíble tren de colores: Volumen I 9,Lorena Benítez,Infantil,978-1000079197,5,Sección Infantil - Estante 3
México durante los barrios de la capital: Lecturas seleccionadas 8,Noemí Silva,Historia de México,978-1000079203,1,Sección Historia - Estante 12
La casa bajo el cielo: Lecturas seleccionadas 9,Rosa González Estrada,Novela,978-1000079210,1,Sección A - Estante 10
Pensar la justicia: Nueva edición 12,Marco Estrada Contreras,Filosofía,978-1000079227,1,Sección Humanidades - Estante 9
Las voces de los ausentes: Nueva edición 8,Rocío Solís Maldonado,Novela,978-1000079234,2,Sección A - Estante 7
Atlas histórico de la vida cotidiana: Estudios y comentarios 15,Emiliano Moreno,Historia,978-1000079241,2,Sección Historia - Estante 2
El expediente de la estación Hidalgo: Guía ilustrada 8,Rodrigo Peña,Misterio,978-1000079258,1,Sección B - Estante 4
Claves de el trabajo,Mariana Zamora,Economía,978-1000079265,4,Sección Humanidades - Estante 10
Herramientas para la educación comunitaria: Estudios y comentarios 5,Sofía Álvarez Castillo,Educación,978-1000079272,3,Sección Educación - Estante 3
Vida de un médico de barrio: Nueva edición 7,Francisco Fuentes,Biografía,978-1000079289,2,Sección Historia - Estante 12
Introducción a la vida urbana: Cuaderno de actividades 7,José Vázquez,Ciencias Sociales,978-1000079296,2,Sección Humanidades - Estante 5
El mapa del barrio: Una introducción 13,Héctor Alarcón,Novela,978-1000079302,2,Sección A - Estante 11
La sombra del barrio: Volumen I 14,Francisco Valdez,Novela,978-1000079319,4,Sección A - Estante 3
Crimen en la biblioteca cerrada: Historias complementarias 12,Tomás Hernández Rodríguez,Misterio,978-1000079326,2,Sección B - Estante 8
Horizonte Europa: Historias complementarias 5,Iván Santos,Ciencia Ficción,978-1000079333,5,Sección B - Estante 4
Las voces de los ausentes: Volumen II 9,Fernanda Fuentes Arellano,Novela,978-1000079340,2,Sección A - Estante 6
La estación de la lluvia: Volumen II 9,Rodrigo Flores,Novela,978-1000079357,2,Sección A - Estante 8
Historia de el mundo moderno: Edición para jóvenes 17,Leticia Ortega Cabrera,Historia,978-1000079364,1,Sección Historia - Estante 12
Los viajeros de la frontera solar: Edición para jóvenes 6,Noemí Méndez,Ciencia Ficción,978-1000079371,3,Sección B - Estante 1
La distancia de la calle antigua: Nueva edición 11,Sara Valdez,Novela,978-1000079388,3,Sección A - Estante 4
Señal la Luna: Cuaderno de actividades 7,Liliana García,Ciencia Ficción,978-1000079395,4,Sección B - Estante 9
La última los inconformes: Edición para jóvenes 6,Rubén Villanueva Alarcón,Juvenil,978-1000079401,2,Sección Juvenil - Estante 2
Los días sin regreso: Volumen II 10,Mónica Juárez Rivera,Novela,978-1000079418,1,Sección A - Estante 10
Introducción a el siglo XX: Volumen I 18,Ricardo Romero Aguilar,Historia,978-1000079425,1,Sección Historia - Estante 10
Atlas de la Ciudad de México: Lecturas seleccionadas 3,Rocío Marín,Geografía,978-1000079432,4,Sección Referencia - Estante 11
Guía de las finanzas personales: Cuaderno de actividades 8,Martha Rivera,Economía,978-1000079449,2,Sección Humanidades - Estante 6
La desaparición de la colonia Roma: Volumen I 6,Martha Flores,Misterio,978-1000079456,2,Sección B - Estante 8
El misterio de los mensajes perdidos: Historias complementarias 7,Elena Robles,Juvenil,978-1000079463,4,Sección Juvenil - Estante 10
Retrato de un médico de barrio: Edición para jóvenes 9,Pilar Peña Escobar,Biografía,978-1000079470,5,Sección Historia - Estante 7
México durante la Ciudad de México: Cuaderno de actividades 10,Gerardo Zúñiga,Historia de México,978-1000079487,3,Sección Historia - Estante 6
Diálogos sobre el mundo contemporáneo: Estudios y comentarios 4,Héctor Marín Juárez,Filosofía,978-1000079494,6,Sección Humanidades - Estante 11
Sociedad y la vida urbana: Nueva edición 8,Manuel Fuentes Luna,Ciencias Sociales,978-1000079500,1,Sección Humanidades - Estante 3
Introducción a bases de datos: Cuaderno de actividades 8,Luis Contreras,Tecnología,978-1000079517,2,Sección Ciencia - Estante 2
La distancia sin regreso: Una introducción 7,Pedro Silva,Novela,978-1000079524,3,Sección A - Estante 6
Taller de grabado: Una introducción 3,Miguel Rojas,Arte,978-1000079531,2,Sección Arte - Estante 8
Mi primer monstruo amable: Historias complementarias 10,Miguel Lozano,Infantil,978-1000079548,1,Sección Infantil - Estante 3
El mundo de el cuerpo humano: Historias complementarias 8,Gerardo Cabrera,Ciencia,978-1000079555,2,Sección Ciencia - Estante 6
El jardín bajo el cielo: Cuaderno de actividades 10,Leticia Lozano,Novela,978-1000079562,3,Sección A - Estante 5
Guía de el bienestar emocional: Volumen II 6,Arturo Morales,Salud,978-1000079579,1,Sección Salud - Estante 6
Las voces junto al lago: Una introducción 4,Rodrigo Peña,Novela,978-1000079586,3,Sección A - Estante 2
Introducción al los derechos humanos: Volumen I 6,Estela Medina,Derecho,978-1000079593,1,Sección Humanidades - Estante 2
